"X","vid_name","frame","num_right_hands","num_left_hands","num_faces","hand_present","face_present","face_openpose","hand_openpose","height","width","left","top","label","mean_conf","WorkerID"
10044,"S_20140816_2130_01.mp4",24360,1,1,1,1,1,1,1,0.15573,0.107008,0.782828,0.290398,"face",0.698969671428571,"OP"
10048,"S_20140220_1603_03.mp4",4255,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10048,"S_20140220_1603_03.mp4",4255,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10048,"S_20140220_1603_03.mp4",4255,1,1,1,1,0,0,0,0,0,0,0,"face",0,"OP"
10051,"S_20131117_1300_05.mp4",14810,1,1,1,1,1,0,1,0,0,0,0,"hand",0,"OP"
10051,"S_20131117_1300_05.mp4",14810,1,1,1,1,1,0,1,0.155505,0.115821,0.460537,0.79859,"hand",0.0468196714285714,"OP"
10051,"S_20131117_1300_05.mp4",14810,1,1,1,1,1,0,1,0,0,0,0,"face",0,"OP"
1006,"S_20140720_2103_01.mp4",4980,1,1,1,1,1,1,1,0,0,0,0,"hand",0,"OP"
1006,"S_20140720_2103_01.mp4",4980,1,1,1,1,1,1,1,0.0797239999999999,0.125951,0.436135,0.627565,"hand",0.0796539761904762,"OP"
1006,"S_20140720_2103_01.mp4",4980,1,1,1,1,1,1,1,0.198032,0.105489,0.24365,0.409385,"face",0.0461229868857143,"OP"
10060,"S_20140510_1823_10.mp4",7165,1,1,1,1,1,1,1,0.190634,0.159604,0.538939,0.471748,"hand",0.0687224666666667,"OP"
10060,"S_20140510_1823_10.mp4",7165,1,1,1,1,1,1,1,0.222487,0.148632,0.54532,0.541186,"hand",0.0671557142857143,"OP"
10060,"S_20140510_1823_10.mp4",7165,1,1,1,1,1,1,1,0.2083587,0.150881,0.577949,0.269865,"face",0.0457274582571429,"OP"
10061,"S_20130504_0617_02.AVI.mp4",27135,1,1,1,1,1,1,1,0,0,0,0,"hand",0,"OP"
10061,"S_20130504_0617_02.AVI.mp4",27135,1,1,1,1,1,1,1,0.116501,0.107418,0.329638,1.01378,"hand",0.0560687571428571,"OP"
10061,"S_20130504_0617_02.AVI.mp4",27135,1,1,1,1,1,1,1,0.3381305,0.224922,0.443915,0.427883,"face",0.8024094,"OP"
10062,"S_20140430_1813_02.AVI.mp4",21815,1,1,1,0,0,1,0,0,0,0,0,"hand",0,"OP"
10062,"S_20140430_1813_02.AVI.mp4",21815,1,1,1,0,0,1,0,0,0,0,0,"hand",0,"OP"
10062,"S_20140430_1813_02.AVI.mp4",21815,1,1,1,0,0,1,0,0.017842,0.00685100000000005,0.976806,0.429722,"face",6.16382185714286e-05,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0.0139359999999999,0.012768,0.723285,0.628507,"hand",0.0101669995238095,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0,0,0,0,"hand",0,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0,0,0,0,"hand",0,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0,0,0,0,"hand",0,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0,0,0,0,"hand",0,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0,0,0,0,"hand",0,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0,0.00236199999999998,0.586979,0.628232,"face",8.866802e-05,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0,0,0,0,"face",0,"OP"
10063,"S_20140302_1613_01.mp4",8855,3,3,3,0,0,1,1,0.00512999999999997,0.00029499999999999,0.244109,0.750539,"face",2.27478957142857e-05,"OP"
10066,"S_20150331_2914_02.mp4",9115,1,1,1,1,1,1,1,0.0790240000000001,0.03782,0.360691,0.90333,"hand",0.14935,"OP"
10066,"S_20150331_2914_02.mp4",9115,1,1,1,1,1,1,1,0,0,0,0,"hand",0,"OP"
10066,"S_20150331_2914_02.mp4",9115,1,1,1,1,1,1,1,0.132837,0.090415,0.454702,0.739307,"face",0.0386399014857143,"OP"
10071,"S_20140622_2005_01.mp4",1065,1,1,1,0,1,1,0,0,0,0,0,"hand",0,"OP"
10071,"S_20140622_2005_01.mp4",1065,1,1,1,0,1,1,0,0,0,0,0,"hand",0,"OP"
10071,"S_20140622_2005_01.mp4",1065,1,1,1,0,1,1,0,0.3199,0.192942,0.504207,0.559933,"face",0.163618131114286,"OP"
10075,"S_20140206_1520_05.mp4",4990,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10075,"S_20140206_1520_05.mp4",4990,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10075,"S_20140206_1520_05.mp4",4990,1,1,1,1,0,0,0,0,0,0,0,"face",0,"OP"
1008,"S_20130622_0805_03.AVI.mp4",21185,2,2,2,1,0,0,1,0.021128,0.017648,0.729691,0.296902,"hand",0.0443158152380952,"OP"
1008,"S_20130622_0805_03.AVI.mp4",21185,2,2,2,1,0,0,1,0,0,0,0,"hand",0,"OP"
1008,"S_20130622_0805_03.AVI.mp4",21185,2,2,2,1,0,0,1,0,0,0,0,"hand",0,"OP"
1008,"S_20130622_0805_03.AVI.mp4",21185,2,2,2,1,0,0,1,0,0,0,0,"hand",0,"OP"
1008,"S_20130622_0805_03.AVI.mp4",21185,2,2,2,1,0,0,1,0,0,0,0,"face",0,"OP"
1008,"S_20130622_0805_03.AVI.mp4",21185,2,2,2,1,0,0,1,0,0,0,0,"face",0,"OP"
10080,"S_20140418_1801_02.mp4",15375,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10080,"S_20140418_1801_02.mp4",15375,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10080,"S_20140418_1801_02.mp4",15375,1,1,1,1,0,0,0,0,0,0,0,"face",0,"OP"
10081,"S_20140528_1911_02.mp4",5605,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
10081,"S_20140528_1911_02.mp4",5605,1,1,1,1,1,0,0,0,0,0,0,"hand",0,"OP"
10081,"S_20140528_1911_02.mp4",5605,1,1,1,1,1,0,0,0,0,0,0,"face",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0.0151490000000001,0.02555,0.284291,0.61486,"hand",0.0730497,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0,0,0,0,"hand",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0,0,0,0,"hand",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0,0,0,0,"hand",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0.0274119999999999,0.031797,0.283712,0.627532,"hand",0.01878931,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0.051486,0.0411670000000001,0.649271,0.363012,"hand",0.0468327857142857,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0,0,0,0,"hand",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0,0,0,0,"hand",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0,0,0,0,"face",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0.099329,0.0310440000000001,0.701609,0.327719,"face",0.00351993585,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0,0,0,0,"face",0,"OP"
10082,"S_20131106_1220_03.mp4",18345,4,4,4,1,1,1,1,0.077496,0.053153,0.144121,0.329522,"face",0.0300461815485714,"OP"
10088,"S_20140308_1619_04.mp4",415,2,2,2,1,0,1,1,0.0281440000000001,0.0319970000000001,0.667329,0.65232,"hand",0.0113409242857143,"OP"
10088,"S_20140308_1619_04.mp4",415,2,2,2,1,0,1,1,0.046768,0.0280904,0.0778726,0.850331,"hand",0.192169528571429,"OP"
10088,"S_20140308_1619_04.mp4",415,2,2,2,1,0,1,1,0.035812,0.011437,0.544944,0.665738,"hand",0.0259040523809524,"OP"
10088,"S_20140308_1619_04.mp4",415,2,2,2,1,0,1,1,0,0,0,0,"hand",0,"OP"
10088,"S_20140308_1619_04.mp4",415,2,2,2,1,0,1,1,0.068288,0.0430970000000001,0.609794,0.531079,"face",0.301570705714286,"OP"
10088,"S_20140308_1619_04.mp4",415,2,2,2,1,0,1,1,0,0,0,0,"face",0,"OP"
10089,"S_20150301_2812_02.mp4",515,1,1,1,1,0,1,0,0,0,0,0,"hand",0,"OP"
10089,"S_20150301_2812_02.mp4",515,1,1,1,1,0,1,0,0,0,0,0,"hand",0,"OP"
10089,"S_20150301_2812_02.mp4",515,1,1,1,1,0,1,0,0.278489,0.276384,0.635496,0.488532,"face",0.000856969004285714,"OP"
10092,"S_20141214_2527_02.mp4",355,1,1,1,0,0,1,0,0,0,0,0,"hand",0,"OP"
10092,"S_20141214_2527_02.mp4",355,1,1,1,0,0,1,0,0,0,0,0,"hand",0,"OP"
10092,"S_20141214_2527_02.mp4",355,1,1,1,0,0,1,0,0.222305,0.145346,0.841952,0.654989,"face",0.0605623076357143,"OP"
10095,"S_20130622_0805_06.AVI.mp4",13105,1,1,1,0,0,1,1,0.046346,0.075395,0.756983,0.662564,"hand",0.0123612223809524,"OP"
10095,"S_20130622_0805_06.AVI.mp4",13105,1,1,1,0,0,1,1,0,0,0,0,"hand",0,"OP"
10095,"S_20130622_0805_06.AVI.mp4",13105,1,1,1,0,0,1,1,0.064276,0.0588249999999999,0.861522,0.550797,"face",0.0172350024142857,"OP"
10097,"S_20140202_1516_08.mp4",10660,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10097,"S_20140202_1516_08.mp4",10660,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10097,"S_20140202_1516_08.mp4",10660,1,1,1,1,0,0,0,0,0,0,0,"face",0,"OP"
10099,"S_20141009_2322_01.mp4",6170,2,2,2,1,0,1,1,0.017423,0.0341589999999999,0.898706,0.464327,"hand",0.00729402380952381,"OP"
10099,"S_20141009_2322_01.mp4",6170,2,2,2,1,0,1,1,0,0,0,0,"hand",0,"OP"
10099,"S_20141009_2322_01.mp4",6170,2,2,2,1,0,1,1,0,0,0,0,"hand",0,"OP"
10099,"S_20141009_2322_01.mp4",6170,2,2,2,1,0,1,1,0.013594,0.011425,0.672618,0.573434,"hand",0.00800545952380952,"OP"
10099,"S_20141009_2322_01.mp4",6170,2,2,2,1,0,1,1,0.055248,0.0434479999999999,0.915161,0.493303,"face",0.00545237158142857,"OP"
10099,"S_20141009_2322_01.mp4",6170,2,2,2,1,0,1,1,0,0,0,0,"face",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0.0310330000000001,0.049961,0.471462,0.70939,"hand",0.0198459761904762,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0.029887,0.021018,0.130649,0.588136,"hand",0.0144604757142857,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0.0377489999999999,0.042446,0.123867,0.610527,"hand",0.023773019047619,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"hand",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"face",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"face",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"face",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"face",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"face",0,"OP"
101,"S_20140101_1415_03.mp4",1355,6,6,6,1,1,0,1,0,0,0,0,"face",0,"OP"
1010,"S_20140528_1911_02.mp4",10160,1,1,1,1,0,0,1,0,0,0,0,"hand",0,"OP"
1010,"S_20140528_1911_02.mp4",10160,1,1,1,1,0,0,1,0.172189,0.074558,0.45821,0.482186,"hand",0.172178876190476,"OP"
1010,"S_20140528_1911_02.mp4",10160,1,1,1,1,0,0,1,0,0,0,0,"face",0,"OP"
10101,"S_20140326_1709_03.mp4",10790,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10101,"S_20140326_1709_03.mp4",10790,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10101,"S_20140326_1709_03.mp4",10790,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
10104,"S_20140112_1426_04.mp4",19075,1,1,1,0,0,0,1,0,0,0,0,"hand",0,"OP"
10104,"S_20140112_1426_04.mp4",19075,1,1,1,0,0,0,1,0.134835,0.049171,0.745012,0.911186,"hand",0.0143705104761905,"OP"
10104,"S_20140112_1426_04.mp4",19075,1,1,1,0,0,0,1,0,0,0,0,"face",0,"OP"
10105,"S_20150131_2714_01.mp4",16885,1,1,1,0,1,1,0,0,0,0,0,"hand",0,"OP"
10105,"S_20150131_2714_01.mp4",16885,1,1,1,0,1,1,0,0,0,0,0,"hand",0,"OP"
10105,"S_20150131_2714_01.mp4",16885,1,1,1,0,1,1,0,0.0690709999999999,0.121725,0.39079,0.911661,"face",0.00186012043428571,"OP"
10108,"S_20141203_2516_01.mp4",11400,2,2,2,0,1,0,0,0,0,0,0,"hand",0,"OP"
10108,"S_20141203_2516_01.mp4",11400,2,2,2,0,1,0,0,0,0,0,0,"hand",0,"OP"
10108,"S_20141203_2516_01.mp4",11400,2,2,2,0,1,0,0,0,0,0,0,"hand",0,"OP"
10108,"S_20141203_2516_01.mp4",11400,2,2,2,0,1,0,0,0,0,0,0,"hand",0,"OP"
10108,"S_20141203_2516_01.mp4",11400,2,2,2,0,1,0,0,0,0,0,0,"face",0,"OP"
10108,"S_20141203_2516_01.mp4",11400,2,2,2,0,1,0,0,0,0,0,0,"face",0,"OP"
1011,"S_20130706_0819_05.mp4",13020,2,2,2,1,1,1,1,0.10718,0.0740540000000001,0.731863,1.04752,"hand",0.0198271252380952,"OP"
1011,"S_20130706_0819_05.mp4",13020,2,2,2,1,1,1,1,0,0,0,0,"hand",0,"OP"
1011,"S_20130706_0819_05.mp4",13020,2,2,2,1,1,1,1,0.098147,0.087475,0.34012,0.928075,"hand",0.150394480952381,"OP"
1011,"S_20130706_0819_05.mp4",13020,2,2,2,1,1,1,1,0,0,0,0,"hand",0,"OP"
1011,"S_20130706_0819_05.mp4",13020,2,2,2,1,1,1,1,0.199702,0.123518,0.613228,0.514061,"face",0.760664042857143,"OP"
1011,"S_20130706_0819_05.mp4",13020,2,2,2,1,1,1,1,0.000246000000000079,0.00220899999999999,0.211896,0.533529,"face",3.00534857142857e-05,"OP"
10111,"S_20130905_1019_01.mp4",4915,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10111,"S_20130905_1019_01.mp4",4915,1,1,1,1,0,0,0,0,0,0,0,"hand",0,"OP"
10111,"S_20130905_1019_01.mp4",4915,1,1,1,1,0,0,0,0,0,0,0,"face",0,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0,0,0,0,"hand",0,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0.035942,0.007185,0.123997,0.358928,"hand",0.0223681028571429,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0,0,0,0,"hand",0,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0.064577,0.0308909999999999,0.33022,0.406404,"hand",0.0341593142857143,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0.028767,0.019767,0.159203,0.339716,"hand",0.0231653571428571,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0.028295,0.02548,0.420627,0.303244,"hand",0.020877770952381,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0.0459539,0.035996,0.224149,0.128901,"face",0.0229936291714286,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0,0,0,0,"face",0,"OP"
10113,"S_20141112_2426_01.mp4",7695,3,3,3,1,0,1,1,0,0,0,0,"face",0,"OP"
10116,"S_20131024_1207_02.mp4",12130,1,1,1,1,1,1,1,0,0,0,0,"hand",0,"OP"
10116,"S_20131024_1207_02.mp4",12130,1,1,1,1,1,1,1,0.0972810000000002,0.0605729999999999,0.7305,0.76071,"hand",0.396837242857143,"OP"
10116,"S_20131024_1207_02.mp4",12130,1,1,1,1,1,1,1,0.171765,0.0973160000000001,0.879901,0.526167,"face",0.107461876728571,"OP"
10118,"S_20140430_1813_05.AVI.mp4",8850,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10118,"S_20140430_1813_05.AVI.mp4",8850,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10118,"S_20140430_1813_05.AVI.mp4",8850,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
10119,"S_20140215_1529_01.mp4",13365,1,1,1,1,1,1,1,0.079384,0.0495899999999999,0.741645,0.540609,"hand",0.010903339047619,"OP"
10119,"S_20140215_1529_01.mp4",13365,1,1,1,1,1,1,1,0.080725,0.029168,0.415118,0.618283,"hand",0.535532476190476,"OP"
10119,"S_20140215_1529_01.mp4",13365,1,1,1,1,1,1,1,0.041056,0.026065,0.550764,0.276858,"face",0.000530876907142857,"OP"
1012,"S_20140409_1723_03.AVI.mp4",1780,1,1,1,1,1,1,1,0.0897410000000001,0.0915859999999999,0.760509,0.627734,"hand",0.00964391142857143,"OP"
1012,"S_20140409_1723_03.AVI.mp4",1780,1,1,1,1,1,1,1,0.0988019999999999,0.0906629999999999,0.583113,0.578347,"hand",0.0122877,"OP"
1012,"S_20140409_1723_03.AVI.mp4",1780,1,1,1,1,1,1,1,0.014705,0.058158,0.859419,0.25227,"face",0.000284890642857143,"OP"
10120,"S_20131214_1327_07.mp4",8985,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10120,"S_20131214_1327_07.mp4",8985,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10120,"S_20131214_1327_07.mp4",8985,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
10125,"S_20140320_1703_08.mp4",5040,1,1,1,1,0,0,1,0,0,0,0,"hand",0,"OP"
10125,"S_20140320_1703_08.mp4",5040,1,1,1,1,0,0,1,0.014293,0.00911799999999996,0.989938,0.560579,"hand",0.0048039,"OP"
10125,"S_20140320_1703_08.mp4",5040,1,1,1,1,0,0,1,0,0,0,0,"face",0,"OP"
10127,"S_20131012_1125_05.mp4",1085,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10127,"S_20131012_1125_05.mp4",1085,1,1,1,0,0,0,0,0,0,0,0,"hand",0,"OP"
10127,"S_20131012_1125_05.mp4",1085,1,1,1,0,0,0,0,0,0,0,0,"face",0,"OP"
